
> web-navigation-frontend@1.0.0 start
> node server.js

前端服务器运行在 http://0.0.0.0:8017
代理请求: GET /sites
代理请求: GET /sites
代理请求: GET /sites
代理请求: GET /sites
代理请求: GET /news
代理请求: POST /auth/login
代理请求: GET /sites?session_token=c618b0e5bc1f6e7a9a06053d6f1f2519
代理请求: GET /wooden-fish/user/2
代理请求: GET /wooden-fish/leaderboard
代理请求: GET /sites
代理请求: POST /auth/logout
代理请求: POST /auth/login
代理请求: GET /sites?session_token=84689843547b2db65a6663320fff859d
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: POST /wooden-fish/user/2
代理请求: GET /wooden-fish/leaderboard
代理请求: POST /auth/verify
